genre,count,main_genre
rock,6249,rock
classic israeli pop,5216,pop
classic rock,4203,rock
israeli rock,3211,rock
mellow gold,2856,rock
art rock,2673,rock
folk rock,2563,rock
album rock,2534,rock
soft rock,2354,rock
permanent wave,2336,rock
pop,2195,pop
israeli pop,2078,pop
alternative rock,2002,rock
dance pop,1864,pop
blues rock,1740,other
israeli singer-songwriter,1716,singer-songwriter
singer-songwriter,1647,singer-songwriter
psychedelic rock,1641,rock
new wave pop,1534,pop
country rock,1468,rock
folk,1420,other
soul,1400,soul
new wave,1370,rock
roots rock,1358,rock
hard rock,1313,rock
mizrahi,1301,mizrahi
indie rock,1275,indie
art pop,1136,pop
pop rock,1129,rock
israeli mediterranean,1122,mizrahi
modern rock,1053,rock
funk,1043,other
rap,1035,hip hop
hip hop,1027,hip hop
adult standards,1022,other
new romantic,984,other
electronica,911,electronic
symphonic rock,857,rock
melancholia,751,other
israeli hip hop,738,hip hop
synthpop,700,electronic
indie pop,681,indie
brill building pop,674,pop
progressive rock,672,rock
glam rock,626,rock
disco,621,electronic
british invasion,618,rock
classical,613,other
edm,606,electronic
europop,596,pop
indie folk,595,indie
electric blues,586,other
pop rap,585,pop
beatlesque,577,rock
israeli indie,572,indie
quiet storm,571,soul
post-punk,563,rock
classic soul,524,soul
alternative metal,517,rock
electropop,494,electronic
pop dance,490,electronic
indie soul,484,indie
alternative dance,484,electronic
dream pop,477,rock
rock-and-roll,475,rock
dance rock,473,rock
classic uk pop,463,pop
urban contemporary,462,hip hop
motown,453,soul
jazz fusion,447,jazz
r&b,446,soul
neo-psychedelic,444,rock
stomp and holler,423,indie
blues,419,other
britpop,412,rock
chamber pop,410,indie
progressive house,406,electronic
vocal jazz,403,jazz
chamber psych,397,other
punk,392,rock
new rave,385,indie
world,378,other
merseybeat,374,rock
neo soul,374,soul
metal,370,rock
lilith,363,other
trip hop,358,indie
post-teen pop,354,pop
tropical house,352,electronic
jazz blues,350,jazz
heartland rock,347,rock
jazz,344,jazz
gangster rap,343,hip hop
piano rock,343,rock
experimental,337,other
bubblegum pop,334,pop
grunge,326,rock
sophisti-pop,324,pop
southern soul,321,soul
rockabilly,309,rock
nu metal,309,rock
lounge,305,other
funk rock,303,rock
east coast hip hop,302,hip hop
indie r&b,299,indie
baroque pop,298,pop
alternative country,292,other
protopunk,291,rock
electro house,287,electronic
afropop,286,other
conscious hip hop,283,hip hop
british blues,278,other
trance,268,electronic
big beat,266,electronic
alternative hip hop,265,hip hop
festigal,263,pop
yacht rock,263,rock
baroque,263,other
canadian pop,261,pop
uk post-punk,260,rock
early music,257,other
indie jazz,254,indie
jazz funk,251,jazz
downtempo,251,other
tech house,250,electronic
new americana,250,other
float house,243,electronic
hardcore hip hop,241,hip hop
madchester,239,rock
house,238,electronic
pub rock,238,rock
alternative r&b,237,soul
israeli trap,235,hip hop
escape room,233,other
progressive trance,232,electronic
german baroque,232,other
uk pop,230,pop
traditional blues,229,other
anti-folk,228,other
deep house,226,electronic
eurodance,226,electronic
acid rock,225,rock
jam band,222,other
neo mellow,219,rock
jewish pop,219,pop
garage rock,218,rock
hip pop,215,hip hop
metropopolis,212,indie
disco house,210,electronic
british folk,208,other
microhouse,207,electronic
modern blues rock,207,other
indietronica,204,indie
zolo,204,rock
punk blues,202,other
bossa nova,202,other
minimal techno,201,electronic
uplifting trance,197,electronic
funk metal,193,rock
southern hip hop,185,hip hop
hip house,184,pop
canadian singer-songwriter,183,singer-songwriter
nu jazz,183,jazz
modern blues,181,other
power pop,180,rock
cosmic american,179,other
rap rock,176,rock
vocal house,175,electronic
trap,174,hip hop
shoegaze,174,indie
soul blues,173,
british soul,173,soul
afrobeat,172,other
soul jazz,168,jazz
chillwave,168,electronic
southern rock,167,rock
memphis soul,164,soul
experimental pop,162,indie
psychedelic soul,160,soul
mpb,160,
torch song,160,jazz
arab alternative,160,other
solo wave,159,
soundtrack,159,
latin,153,other
underground hip hop,153,hip hop
german techno,152,
reggae,151,
sefardi,151,mizrahi
west coast rap,149,
noise pop,148,
experimental rock,146,
easy listening,144,
post-disco,141,
acoustic blues,141,
golden age hip hop,140,
chanson,136,
flute rock,136,
glam metal,134,
indie garage rock,134,
latin pop,133,
freak folk,132,
persian pop,131,
art punk,130,
double drumming,129,
samba,129,
progressive electro house,125,
roots reggae,124,
post-grunge,124,
outlaw country,123,
bubblegum dance,123,
classical era,123,
jewish hip hop,122,
compositional ambient,121,
bebop,120,
country,118,
muzika l'yeladim,117,pop
early romantic era,117,
contemporary jazz,116,
atl hip hop,116,
modern alternative rock,116,
old school hip hop,116,
irish rock,115,
classic garage rock,114,
trap latino,114,
german romanticism,111,
freakbeat,110,
classic canadian rock,110,
eurovision,108,
jazz trumpet,108,
organic house,108,
judaica,108,
fourth world,107,
filter house,107,
french indietronica,107,
chicago rap,107,
mande pop,106,
modern folk rock,105,
reggaeton,105,
rap metal,104,
hard bop,104,
lo-fi,104,
scottish indie,104,
instrumental rock,102,
australian dance,100,
sunshine pop,100,
new french touch,99,
afrofuturism,99,
oxford indie,99,
rhythm and blues,98,
uk contemporary jazz,98,
pop soul,97,
chicago blues,97,
political hip hop,96,
french indie pop,96,
space rock,96,
uk dance,95,
old school thrash,94,
orchestral soundtrack,94,
electro,94,
ska,94,
supergroup,92,
late romantic era,92,
hi-nrg,92,
ambient,92,
girl group,91,
swamp rock,91,
brooklyn indie,91,
proto-metal,89,
new age,89,
melodic techno,89,
jazz saxophone,88,
boy band,88,
psychedelic folk,86,
jazz piano,86,
uk bass,85,
australian pop,85,
progressive trance house,84,
cool jazz,84,
swedish pop,84,
diva house,83,
neo-synthpop,83,
queens hip hop,82,
dub,82,
ninja,82,
french pop,82,
latin jazz,82,
gothic rock,81,
instrumental funk,81,
epicore,81,
techno,80,
louisiana blues,80,
big room,80,
electra,80,
tropicalia,79,
chicago soul,79,
canadian indie,79,
nu disco,79,
hollywood,78,
piano blues,78,
minimal tech house,77,
thrash metal,77,
israeli jazz,76,
palestinian pop,76,
scottish rock,76,
g funk,76,
slowcore,75,
australian rock,75,
turntablism,75,
american folk revival,75,
swing,74,
contemporary vocal jazz,73,
free jazz,73,
progressive uplifting trance,73,
bubble trance,72,
contemporary post-bop,72,
candy pop,70,
malian blues,70,
canterbury scene,70,
contemporary r&b,70,
acoustic rock,70,
sleep,69,
alt z,69,
minneapolis sound,69,
viral pop,68,
garage psych,68,
industrial,68,
scottish new wave,68,
dance-punk,67,
afro house,67,
jazz guitar,67,
new orleans blues,67,
uk alternative pop,67,
k-pop,67,
alternative pop,66,
classic house,66,
melodic rap,66,
future garage,65,
deep new americana,65,
jazz rock,65,
italian disco,65,
country blues,65,
lgbtq+ hip hop,65,
dark pop,65,
trap queen,65,
video game music,65,
laiko,64,
nashville sound,64,
psychedelic trance,64,
synth funk,64,
tropical,63,
synthwave,63,
australian psych,63,
messianic praise,63,
uk contemporary r&b,62,
chicago indie,62,
canadian contemporary r&b,62,
sheffield indie,62,
funky tech house,61,
neo-progressive,61,
stoner rock,61,
classic country pop,61,
post-romantic era,61,
alternative americana,60,
philly soul,60,
tribal house,60,
krautrock,60,
jazz pop,60,
jazz rap,59,
canadian hip hop,59,
minimalism,59,
athens indie,58,
breakbeat,58,
classic soundtrack,58,
british jazz,58,
italian adult pop,57,
egyptian alternative,57,
northern soul,57,
pop edm,57,
la indie,57,
ectofolk,57,
ethereal wave,56,
doo-wop,56,
boston rock,56,
dutch trance,56,
delta blues,56,
avant-garde jazz,56,
dirty south rap,56,
icelandic pop,55,
movie tunes,55,
detroit rock,55,
birmingham metal,55,
reggae fusion,55,
australian indie,55,
miami hip hop,54,
dark disco,54,
toronto rap,54,
palm desert scene,54,
early modern classical,53,
ambient pop,53,
classic girl group,53,
rave,53,
shimmer pop,52,
classic arab pop,52,
hardcore techno,52,
indie poptimism,52,
new jersey indie,52,
experimental vocal,51,
black americana,51,
deep disco house,51,
smooth jazz,51,
rock en espanol,51,
jazztronica,51,
middle east hip hop,50,
electroclash,50,
intelligent dance music,50,
salsa,50,
latin alternative,50,
arkansas country,50,
balkan brass,50,
ecm-style jazz,50,
arab pop,50,
dreamo,50,
texas country,49,
vapor soul,49,
boom bap,49,
greek pop,49,
mexican pop,49,
harlem renaissance,48,
filmi,48,
electronic rock,48,
icelandic experimental,48,
shiver pop,48,
no wave,48,
pastoral,48,
icelandic singer-songwriter,47,
industrial rock,47,
wonky,47,
turkish psych,47,
organic electronic,47,
mexican classic rock,47,
jordanian pop,47,
new jersey rap,47,
palestinian hip hop,46,
speed metal,46,
celtic rock,46,
french romanticism,46,
swedish electropop,45,
soulful house,45,
instrumental soul,45,
focus trance,45,
post-hardcore,44,
colombian pop,44,
laboratorio,44,
nz pop,44,
chillsynth,44,
french rock,44,
drift,44,
slap house,43,
noise rock,43,
rare groove,43,
egyptian pop,43,
dutch indie,43,
barbadian pop,43,
arab folk,43,
modern funk,43,
german rock,43,
uk house,42,
rock keyboard,42,
uk post-punk revival,42,
arab groove,42,
gypsy fusion,42,
detroit hip hop,42,
etherpop,42,
bedroom pop,42,
nova mpb,41,
velha guarda,41,
brazilian jazz,41,
bubblegrunge,41,
jangle pop,41,
latin rock,41,
outsider house,41,
bboy,41,
ethnotronica,41,
belgian indie,41,
deep groove house,41,
piano cover,41,
dark techno,41,
world fusion,41,
pagode,41,
dutch pop,41,
memphis blues,40,
israeli folk,40,
classical organ,40,
desi pop,40,
german pop,40,
rai,40,
ska revival,40,
scorecore,40,
philly indie,40,
chasidic pop,40,
austindie,40,
musica tradicional cubana,39,
experimental ambient,39,
old school atlanta hip hop,39,
latin hip hop,39,
harmonica blues,39,
ethio-jazz,39,
arabic hip hop,38,
arab electronic,38,
egyptian hip hop,38,
disney,38,
women's music,38,
francoton,38,
classic italian pop,38,
gbvfi,38,
indie surf,38,
canadian electronic,38,
big band,38,
folk-pop,38,
neo-classical,38,
dark wave,38,
acoustic pop,38,
italian techno,38,
ambient folk,38,
nederpop,37,
progressive psytrance,37,
dancehall,37,
drone,37,
swedish synthpop,37,
desert blues,37,
contemporary classical,37,
balkan beats,37,
belgian rock,37,
modern bollywood,37,
post-rock,37,
hammond organ,36,
rumba,36,
stride,36,
bay area indie,36,
talent show,36,
electro-pop francais,36,
modern dream pop,35,
violao,35,
contemporary country,35,
ye ye,35,
meditation,35,
deep euro house,35,
lebanese indie,35,
new weird america,35,
lovers rock,35,
country dawn,35,
frankfurt electronic,35,
welsh rock,35,
quebec indie,35,
skate punk,35,
german trance,35,
lo-fi house,35,
