name,popularity,track_number,duration_ms,explicit,added_at,artist_name,artist_followers,artist_popularity,genres,main_genre,main_album,release_date,album_tracks_number,station,followers,snapshot_id
תנו לי רוקנ`רול,31,8,296280,False,2021-12-31T22:31:55Z,T-Slam,21597,34,"['classic israeli pop', 'israeli rock']",pop,רדיו חזק,1981-01-01,15,glglz,4536,NDA2MDk1LDM0ZmUyODM0NGIyZmZmOTUzMGIyN2JhNDdiMjYzYTFhNWUxMWU0MTI=
In the Name of Love,79,1,195706,False,2021-12-31T22:24:54Z,Martin Garrix,15292567,81,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",pop,In the Name of Love,2016-07-29,1,glglz,4536,NDA2MDk1LDM0ZmUyODM0NGIyZmZmOTUzMGIyN2JhNDdiMjYzYTFhNWUxMWU0MTI=
באתי להציל אותך,58,1,187352,False,2021-12-31T22:20:54Z,Agam Buhbut,133298,49,['israeli mediterranean'],other,באתי להציל אותך,2021-10-26,1,glglz,4536,NDA2MDk1LDM0ZmUyODM0NGIyZmZmOTUzMGIyN2JhNDdiMjYzYTFhNWUxMWU0MTI=
Big City Life,67,2,240893,False,2021-12-31T22:16:37Z,Mattafix,78067,54,['reggae fusion'],reggae,Signs Of A Struggle,2005,14,glglz,4536,NDA2MDk1LDM0ZmUyODM0NGIyZmZmOTUzMGIyN2JhNDdiMjYzYTFhNWUxMWU0MTI=
Stressed Out,86,2,202333,False,2021-12-31T22:13:54Z,Twenty One Pilots,21685086,85,"['modern rock', 'rock']",rock,Blurryface,2015-05-15,14,glglz,4536,NDA2MDk1LDM0ZmUyODM0NGIyZmZmOTUzMGIyN2JhNDdiMjYzYTFhNWUxMWU0MTI=
It's The End Of The World As We Know It (And I Feel Fine),70,6,246933,False,2021-12-31T22:10:46Z,R.E.M.,3313952,76,"['alternative rock', 'athens indie', 'classic rock', 'permanent wave', 'pop rock', 'rock']",rock,Document (R.E.M. No. 5),1987-09-01,11,glglz,4536,NDA2MDk1LDM0ZmUyODM0NGIyZmZmOTUzMGIyN2JhNDdiMjYzYTFhNWUxMWU0MTI=
The Final Countdown,78,1,310333,False,2021-12-31T21:57:21Z,Europe,1147564,68,"['album rock', 'glam metal', 'hard rock', 'rock', 'swedish hard rock', 'swedish melodic rock']",rock,The Final Countdown (Expanded Edition),1986,13,glglz,4536,NDA2MDk1LDM0ZmUyODM0NGIyZmZmOTUzMGIyN2JhNDdiMjYzYTFhNWUxMWU0MTI=
Spectrum (Say My Name) - Calvin Harris Remix,68,13,218190,False,2021-12-31T21:53:30Z,Florence + The Machine,5739004,77,"['baroque pop', 'pop', 'uk alternative pop']",pop,Ceremonials,2011,15,glglz,4536,NDA2MDk1LDM0ZmUyODM0NGIyZmZmOTUzMGIyN2JhNDdiMjYzYTFhNWUxMWU0MTI=
ואם תבואי אליי (Ve'Eem Tavo'ee Elay) - Live In Buenos Aires,15,23,241626,False,2021-12-31T21:47:24Z,Idan Raichel,548262,57,"['classic israeli pop', 'israeli mediterranean', 'israeli pop', 'israeli singer-songwriter']",pop,The Idan Raichel Symphonic Project (Live In Buenos Aires),2021-08-22,23,glglz,4536,NDA2MDk1LDM0ZmUyODM0NGIyZmZmOTUzMGIyN2JhNDdiMjYzYTFhNWUxMWU0MTI=
Somebody To Love,70,2,220920,False,2021-12-31T21:37:57Z,Justin Bieber,54764610,98,"['canadian pop', 'pop']",pop,My World 2.0,2010-01-01,10,glglz,4536,NDA2MDk1LDM0ZmUyODM0NGIyZmZmOTUzMGIyN2JhNDdiMjYzYTFhNWUxMWU0MTI=
